author	publication_year	title	subject_topic
Cleve, Friedrich August (1743-1796)	1788	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1789	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1789	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1789	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1790	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1790	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1790	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1790	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1791	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1791	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1791	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1791	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1792	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1792	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
