1,115,a::920.18233:1.4,,"Hane, van den",com,oip,fp,Laurens,"Hane, van den, Laurens",1617-1683,Lavrens vanden Hane,c:stcv:3105663
1,116,a::920.18233:1.4,,"Hane, van den",com,oip,fp,Laurens,"Hane, van den, Laurens",1617-1683,Lavrens vanden Hane,c:stcv:3105686
1,117,a::920.18233:1.4,,"Hane, van den",com,oip,fp,Laurens,"Hane, van den, Laurens",1617-1683,Lavrens vanden Hane,c:stcv:3105705
1,118,a::920.18233:1.4,,"Hane, van den",com,oip,fp,Laurens,"Hane, van den, Laurens",1617-1683,Lavrens vanden Hane,c:stcv:3105717
2,119,a::920.41532:1.2,,Janssens,ill,oip,fp,Hendric,"Janssens, Hendric",1630-,H. Janssens,c:stcv:3105717
1,120,a::920.18233:1,,"Hane, van den",com,oip,ext,Laurens,"Hane, van den, Laurens",1617-1683,"Hane, van den, Laurens",c:stcv:3105725
1,121,a::920.18233:1,,"Hane, van den",com,oip,ext,Laurens,"Hane, van den, Laurens",1617-1683,"Hane, van den, Laurens",c:stcv:3105746
1,122,a::920.18233:1,,"Hane, van den",com,oip,ext,Laurens,"Hane, van den, Laurens",1617-1683,"Hane, van den, Laurens",c:stcv:3105847
2,123,a::920.41532:1.2,,Janssens,ill,oip,fp,Hendric,"Janssens, Hendric",1630-,H. Janssens,c:stcv:3105847
1,124,a::920.18233:1,,"Hane, van den",com,oip,ext,Laurens,"Hane, van den, Laurens",1617-1683,"Hane, van den, Laurens",c:stcv:3105859
2,125,a::920.41532:1.2,,Janssens,ill,oip,fp,Hendric,"Janssens, Hendric",1630-,H. Janssens,c:stcv:3105859
1,126,a::920.18233:1,,"Hane, van den",com,oip,ext,Laurens,"Hane, van den, Laurens",1617-1683,"Hane, van den, Laurens",c:stcv:3105923
2,127,a::920.41532:1.2,,Janssens,ill,oip,fp,Hendric,"Janssens, Hendric",1630-,H. Janssens,c:stcv:3105923
1,128,a::920.18233:1,,"Hane, van den",com,oip,ext,Laurens,"Hane, van den, Laurens",1617-1683,"Hane, van den, Laurens",c:stcv:3105938
1,129,a::920.18233:1,,"Hane, van den",com,oip,ext,Laurens,"Hane, van den, Laurens",1617-1683,"Hane, van den, Laurens",c:stcv:3105945
2,130,a::920.41532:1,,Janssens,ill,oip,doc,Hendric,"Janssens, Hendric",1630-,"Janssens, Hendric",c:stcv:3105945
1,131,a::920.18233:1,,"Hane, van den",com,oip,ext,Laurens,"Hane, van den, Laurens",1617-1683,"Hane, van den, Laurens",c:stcv:3105977
2,132,a::920.41532:1.2,,Janssens,ill,oip,fp,Hendric,"Janssens, Hendric",1630-,H. Janssens,c:stcv:3105977
1,133,a::920.18233:1,,"Hane, van den",com,oip,ext,Laurens,"Hane, van den, Laurens",1617-1683,"Hane, van den, Laurens",c:stcv:3106110
1,134,a::920.18233:1,,"Hane, van den",com,oip,ext,Laurens,"Hane, van den, Laurens",1617-1683,"Hane, van den, Laurens",c:stcv:3106117
2,135,a::920.41532:1.2,,Janssens,ill,oip,fp,Hendric,"Janssens, Hendric",1630-,H. Janssens,c:stcv:3106117
1,136,a::920.18233:1,,"Hane, van den",com,oip,ext,Laurens,"Hane, van den, Laurens",1617-1683,"Hane, van den, Laurens",c:stcv:3106128
2,137,a::920.41532:1.2,,Janssens,ill,oip,fp,Hendric,"Janssens, Hendric",1630-,H. Janssens,c:stcv:3106128
1,138,a::920.18233:1,,"Hane, van den",com,oip,ext,Laurens,"Hane, van den, Laurens",1617-1683,"Hane, van den, Laurens",c:stcv:3106187
1,139,a::920.18233:1,,"Hane, van den",com,oip,ext,Laurens,"Hane, van den, Laurens",1617-1683,"Hane, van den, Laurens",c:stcv:3106223
1,140,a::920.18233:1.5,,"Hane, van den",com,oip,fp,Laurens,"Hane, van den, Laurens",1617-1683,Lavrent vanden Hane,c:stcv:3106238
2,141,a::920.41532:1.2,,Janssens,ill,oip,fp,Hendric,"Janssens, Hendric",1630-,H. Janssens,c:stcv:3106238
1,142,a::920.41524:1,,"Somer, van",ill,oip,doc,Bernard,"Somer, van, Bernard",1572-1632,"Somer, van, Bernard",c:stcv:3106246
1,143,a::920.18233:1,,"Hane, van den",com,oip,ext,Laurens,"Hane, van den, Laurens",1617-1683,"Hane, van den, Laurens",c:stcv:3106281
1,144,a::920.18233:1,,"Hane, van den",com,oip,ext,Laurens,"Hane, van den, Laurens",1617-1683,"Hane, van den, Laurens",c:stcv:3106293
1,145,a::920.41525:1.1,,Rosant,aut,oip,fp,Jacob,"Rosant, Jacob",-1665,Jacob Rosant,c:stcv:3106327
1,146,a::920.18458:1.2,,"Wolsschaten, van",aut,oip,fp,Geeraerd II,"Wolsschaten, van, Geeraerd II",1603-1660,Geeraerdt van Wolsschaten,c:stcv:3106349
2,147,a::920.41526:1,,Bouttats,ill,oip,doc,Petrus Balthasar,"Bouttats, Petrus Balthasar",1666-1755,"Bouttats, Petrus Balthasar",c:stcv:3106349
3,148,a::920.3625:1,Younger,Holbein,ill,oip,ext,Hans,"Holbein, Hans [Younger]",c.1497-c.1543,"Holbein, Hans [Younger]",c:stcv:3106349
1,149,a::920.18233:1,,"Hane, van den",com,oip,ext,Laurens,"Hane, van den, Laurens",1617-1683,"Hane, van den, Laurens",c:stcv:3106391
1,150,a::920.41527:1.1,,Maes,aut,oip,fp,Bonifacius,"Maes, Bonifacius",-1706,eenen minder-broeder recollect,c:stcv:3106394
1,151,a::920.7294:1.2,,Hazart,aut,oip,fp,Cornelius,"Hazart, Cornelius",1617-1690,Cornelivs Hazart,c:stcv:3106444
1,152,a::920.41582:1.1,,Hermannus a S. Norberto,aut,oip,fp,,Hermannus a S. Norberto,-1686,Hermannus à S. Norberto,c:stcv:3106448
2,153,a::920.41583:1,,"Sande, van de",ill,oip,doc,Jan,"Sande, van de, Jan",1600-1664/1665,"Sande, van de, Jan",c:stcv:3106448
1,154,a::920.41556:1.1,,"Moelder, de",adp,oip,fp,Hieronymus,"Moelder, de, Hieronymus",,Hieronymus de Moelder,c:stcv:3106472
1,155,a::920.9748:1.2,,Makeblyde,aut,oip,fp,Ludovicus,"Makeblyde, Ludovicus",1565-1630,Lvdovicvs Makeblyde,c:stcv:3106477
1,156,a::920.41558:1.1,,"Smet, de",aut,oip,fp,Jacobus,"Smet, de, Jacobus",,Jacobvs de Smet,c:stcv:3106483
1,157,a::920.40927:1,,Myleman,aut,oip,ext,Carolus,"Myleman, Carolus",,"Myleman, Carolus",c:stcv:3106495
1,158,a::920.41582:1.1,,Hermannus a S. Norberto,aut,oip,fp,,Hermannus a S. Norberto,-1686,Hermannus à S. Norberto,c:stcv:3106536
2,159,a::920.41583:1,,"Sande, van de",ill,oip,doc,Jan,"Sande, van de, Jan",1600-1664/1665,"Sande, van de, Jan",c:stcv:3106536
